,condition,url
2165,Activated Partial Thromboplastin Time,https://www.drugs.com/cg/activated-partial-thromboplastin-time.html
2166,Active Listening,https://www.drugs.com/cg/active-listening.html
2167,Active Range of Motion Exercises,https://www.drugs.com/cg/active-range-of-motion-exercises.html
2168,Acupuncture,https://www.drugs.com/health-guide/acupuncture.html
2169,Acute Abdomen,https://www.drugs.com/condition/acute-surgical-abdomen.html
2170,Acute Abdominal Pain,https://www.drugs.com/cg/acute-abdominal-pain.html
2171,Acute Abdominal Pain in Children,https://www.drugs.com/cg/acute-abdominal-pain-in-children.html
2172,Acute Alcohol Intoxication,https://www.drugs.com/condition/acute-alcohol-intoxication.html
2173,Acute Asthma,https://www.drugs.com/mcd/asthma-attack
2174,Acute Bacterial Cystitis,https://www.drugs.com/mcd/urinary-tract-infection-uti
2175,Acute Blood Loss Anemia,https://www.drugs.com/condition/anemia-associated-with-acute-blood-loss.html
2176,Acute Bronchitis,https://www.drugs.com/cg/acute-bronchitis.html
2177,Acute Bronchitis in Adults,https://www.drugs.com/cg/acute-bronchitis-in-adults.html
2178,Acute Bronchitis in Children,https://www.drugs.com/cg/acute-bronchitis-in-children.html
2179,Acute Chest Syndrome,https://www.drugs.com/cg/acute-chest-syndrome.html
2180,Acute Childhood Leukemia,https://www.drugs.com/cg/acute-lymphocytic-leukemia.html
2181,Acute Cholecystitis,https://www.drugs.com/condition/acute-cholecystitis.html
2182,Acute Coronary Syndrome,https://www.drugs.com/cg/acute-coronary-syndrome.html
2183,"Acute Coronary Syndrome, Prophylaxis",https://www.drugs.com/condition/acute-coronary-syndrome-prophylaxis.html
1112,Acute Cough,https://www.drugs.com/cg/acute-cough.html
2184,Acute Cough,https://www.drugs.com/cg/acute-cough.html
2185,Acute Cough in Children,https://www.drugs.com/cg/acute-cough-in-children.html
2186,Acute Delirium,https://www.drugs.com/cg/acute-delirium.html
2187,Acute Dental Trauma,https://www.drugs.com/cg/acute-dental-trauma.html
2188,Acute Dental Trauma in Children,https://www.drugs.com/cg/acute-dental-trauma-in-children.html
2189,Acute Diarrhea,https://www.drugs.com/cg/acute-diarrhea.html
2190,Acute Diarrhea in Children,https://www.drugs.com/cg/acute-diarrhea-in-children.html
2191,Acute Glomerulonephritis,https://www.drugs.com/cg/glomerulonephritis.html
2192,Acute Graft versus Host Disease,https://www.drugs.com/cg/acute-graft-versus-host-disease.html
2193,Acute Granulocytic Leukemia,https://www.drugs.com/cg/acute-myeloid-leukemia.html
2196,Acute HIV Infection,https://www.drugs.com/cg/hiv-infection.html
2194,Acute Headache,https://www.drugs.com/cg/acute-headache.html
2195,Acute Headache in Children,https://www.drugs.com/cg/acute-headache-in-children.html
2197,Acute Hypothermia,https://www.drugs.com/cg/acute-hypothermia.html
2198,Acute Intermittent Porphyria,https://www.drugs.com/mcd/porphyria
2199,Acute Kidney Failure,https://www.drugs.com/mcd/acute-kidney-failure
2200,Acute Kidney Injury,https://www.drugs.com/cg/acute-kidney-injury.html
2201,Acute Liver Failure,https://www.drugs.com/cg/acute-liver-failure.html
2202,Acute Low Back Pain,https://www.drugs.com/cg/acute-low-back-pain.html
2203,Acute Lymphoblastic Leukemia,https://www.drugs.com/condition/acute-lymphoblastic-leukemia.html
2204,Acute Lymphocytic Leukemia,https://www.drugs.com/cg/acute-lymphocytic-leukemia.html
2205,Acute Lymphocytic Leukemia (ALL) in Adults,https://www.drugs.com/health-guide/acute-lymphocytic-leukemia-all-in-adults.html
2206,Acute Lymphocytic Leukemia (ALL) in Children,https://www.drugs.com/health-guide/acute-lymphocytic-leukemia-all-in-children.html
2207,Acute Lymphocytic Leukemia in Children,https://www.drugs.com/cg/acute-lymphocytic-leukemia-in-children.html
2208,Acute Myeloblastic Leukemia,https://www.drugs.com/condition/acute-myeloblastic-leukemia.html
2209,Acute Myelogenous Leukemia,https://www.drugs.com/mcd/acute-myelogenous-leukemia-aml
2210,Acute Myeloid Leukemia,https://www.drugs.com/cg/acute-myeloid-leukemia.html
1113,Acute Myeloid Leukemia (AML),https://www.drugs.com/health-guide/acute-myeloid-leukemia-aml.html
2211,Acute Myeloid Leukemia (AML),https://www.drugs.com/health-guide/acute-myeloid-leukemia-aml.html
2212,Acute Nausea and Vomiting,https://www.drugs.com/cg/acute-nausea-and-vomiting.html
2213,Acute Nausea and Vomiting in Children,https://www.drugs.com/cg/acute-nausea-and-vomiting-in-children.html
2214,Acute Neck Pain,https://www.drugs.com/cg/acute-neck-pain.html
2215,Acute Nonlymphocytic Leukemia,https://www.drugs.com/condition/acute-nonlymphocytic-leukemia.html
2216,Acute Otitis Externa,https://www.drugs.com/cg/otitis-externa-ambulatory-care.html
2217,Acute Pancreatitis,https://www.drugs.com/health-guide/acute-pancreatitis.html
2218,Acute Paraphimosis,https://www.drugs.com/cg/acute-paraphimosis.html
2219,Acute Pericarditis,https://www.drugs.com/cg/acute-pericarditis.html
2220,Acute Porphyria,https://www.drugs.com/cg/acute-porphyria.html
2221,Acute Post-Hemorrhagic Anemia,https://www.drugs.com/condition/anemia-associated-with-acute-blood-loss.html
2222,Acute Promyelocytic Leukemia,https://www.drugs.com/condition/acute-promyelocytic-leukemia.html
2223,Acute Prostatitis,https://www.drugs.com/health-guide/acute-prostatitis.html
2224,Acute Rash,https://www.drugs.com/cg/acute-rash.html
2225,Acute Respiratory Distress Syndrome,https://www.drugs.com/condition/respiratory-distress-syndrome.html
2226,Acute Respiratory Failure,https://www.drugs.com/cg/acute-respiratory-failure.html
2227,Acute Retroviral Syndrome,https://www.drugs.com/cg/hiv-infection.html
1114,Acute Sinusitis,https://www.drugs.com/health-guide/acute-sinusitis.html
2228,Acute Sinusitis,https://www.drugs.com/health-guide/acute-sinusitis.html
2229,Acute Stress Reaction,https://www.drugs.com/cg/anxiety.html
2230,Acute Urinary Retention in Women,https://www.drugs.com/cg/acute-urinary-retention-in-women.html
2231,Acute Wound Care,https://www.drugs.com/cg/acute-wound-care.html
2232,Acute Wounds,https://www.drugs.com/cg/acute-wounds.html
1118,Allergies,https://www.drugs.com/allergies.html
1119,Allergies (Care Guide),https://www.drugs.com/cg/allergies.html
1120,Alopecia,https://www.drugs.com/cg/alopecia.html
1121,Amnesia,https://www.drugs.com/cg/amnesia.html
1122,Anemia,https://www.drugs.com/cg/anemia.html
1123,Angina,https://www.drugs.com/cg/angina.html
1124,Anxiety,https://www.drugs.com/cg/anxiety.html
314,Arm Fracture,https://www.drugs.com/health-guide/arm-fracture.html
315,Arm Fracture in Adults,https://www.drugs.com/cg/arm-fracture-in-adults.html
316,Arm Fracture in Children,https://www.drugs.com/cg/arm-fracture-in-children.html
317,Arm Pain,https://www.drugs.com/cg/arm-pain-aftercare-instructions.html
318,Arm Stretches after Mastectomy or Breast Reconstruction,https://www.drugs.com/cg/arm-stretches-after-mastectomy-or-breast-reconstruction-ambulatory-care.html
319,Arnold's Neuralgia,https://www.drugs.com/cg/acute-headache.html
1125,Arrhythmia,https://www.drugs.com/health-guide/cardiac-arrhythmias.html
320,Arrhythmia,https://www.drugs.com/health-guide/cardiac-arrhythmias.html
321,Arsenic Poisoning,https://www.drugs.com/condition/arsenic-poisoning.html
322,"Arsenic Poisoning, Mild",https://www.drugs.com/condition/arsenic-poisoning-mild.html
323,"Arsenic Poisoning, Severe",https://www.drugs.com/condition/arsenic-poisoning-severe.html
324,Arterial Blood Flow Studies of the Legs (Segmental Doppler Pressures),https://www.drugs.com/health-guide/arterial-blood-flow-studies-of-the-legs-segmental-doppler-pressures.html
325,Arterial Thrombosis,https://www.drugs.com/condition/arterial-thrombosis.html
326,Arteriogram of Carotid Arteries,https://www.drugs.com/cg/arteriogram-of-carotid-arteries.html
327,Arteriogram of Legs,https://www.drugs.com/cg/arteriogram-of-legs.html
328,Arteriosclerosis,https://www.drugs.com/health-guide/atherosclerosis.html
329,Arteriosclerosis / Atherosclerosis,https://www.drugs.com/mcd/arteriosclerosis-atherosclerosis
330,Arteriosclerotic Dementia,https://www.drugs.com/condition/arteriosclerotic-dementia.html
331,Arteriosclerotic Dementia with Depression,https://www.drugs.com/condition/arteriosclerotic-dementia-w-depressive-features.html
332,Arteriosclerotic Heart Disease,https://www.drugs.com/cg/coronary-artery-disease.html
333,Arteriovenous Fistula,https://www.drugs.com/mcd/arteriovenous-fistula
334,Arteriovenous Fistula Creation for Hemodialysis,https://www.drugs.com/cg/arteriovenous-fistula-creation-for-hemodialysis.html
335,Arteriovenous Graft Creation for Hemodialysis,https://www.drugs.com/cg/arteriovenous-graft-creation-for-hemodialysis.html
336,Arteriovenous Graft Placement for Hemodialysis,https://www.drugs.com/cg/arteriovenous-graft-placement-for-hemodialysis-aftercare-instructions.html
337,Arteriovenous Malformation,https://www.drugs.com/cg/arteriovenous-malformation.html
338,Arteriovenous Shunting,https://www.drugs.com/condition/arteriovenous-shunting.html
339,Arthralgia,https://www.drugs.com/cg/arthralgia-aftercare-instructions.html
340,Arthritis,https://www.drugs.com/cg/arthritis.html
1126,Arthritis,https://www.drugs.com/cg/arthritis.html
341,Arthritis Associated with Inflammatory Bowel Disease,https://www.drugs.com/health-guide/arthritis-associated-with-inflammatory-bowel-disease.html
342,"Arthritis, Osteoarthritis",https://www.drugs.com/cg/osteoarthritis.html
343,"Arthritis, Reactive",https://www.drugs.com/condition/reiter-s-syndrome.html
344,"Arthritis, Rheumatoid",https://www.drugs.com/cg/rheumatoid-arthritis.html
345,Arthrodesis,https://www.drugs.com/cg/arthrodesis.html
346,Arthrogram,https://www.drugs.com/cg/arthrogram.html
347,Arthrography,https://www.drugs.com/condition/arthrography.html
348,Arthroscopic ACL Reconstruction,https://www.drugs.com/cg/arthroscopic-acl-reconstruction.html
349,Arthroscopic Acromioplasty,https://www.drugs.com/cg/arthroscopic-acromioplasty-aftercare-instructions.html
350,Arthroscopic Anterior Cruciate Ligament Reconstruction,https://www.drugs.com/cg/arthroscopic-anterior-cruciate-ligament-reconstruction.html
351,Arthroscopic Surgery,https://www.drugs.com/health-guide/arthroscopic-surgery.html
352,Arthroscopic TMJ,https://www.drugs.com/cg/arthroscopic-tmj-aftercare-instructions.html
1127,"Asthma, Acute",https://www.drugs.com/mcd/asthma-attack
1128,Atrial Fibrillation,https://www.drugs.com/health-guide/atrial-fibrillation.html
1129,Autism,https://www.drugs.com/cg/autism-spectrum-disorder.html
1130,Autoimmune Disorders,https://www.drugs.com/cg/autoimmune-disease.html
1796,Bacterial Infection,https://www.drugs.com/cg/wound-infection.html
1816,Bacterial Infection,https://www.drugs.com/cg/wound-infection.html
1509,Bacterial Infection,https://www.drugs.com/cg/wound-infection.html
249,Biceps Tenodesis,https://www.drugs.com/cg/biceps-tenodesis.html
250,Bicuspid Aortic Valve,https://www.drugs.com/mcd/bicuspid-aortic-valve
251,Bicuspid Aortic Valve Disease,https://www.drugs.com/condition/valvular-heart-disease.html
252,Bicycle Helmet Use,https://www.drugs.com/cg/bicycle-helmet-use.html
253,Bicycle Safety,https://www.drugs.com/cg/bicycle-safety.html
254,Bilateral Acoustic Neurofibromatosis,https://www.drugs.com/health-guide/neurofibromatosis.html
255,Bile Acid Synthesis Disorders,https://www.drugs.com/condition/bile-acid-synthesis-disorders.html
256,Bile Calculus,https://www.drugs.com/cg/gallstones.html
257,Bile Duct Cancer,https://www.drugs.com/condition/biliary-tract-tumor.html
258,Bile Duct Diseases,https://www.drugs.com/health-guide/bile-duct-diseases.html
259,Bile Duct Stone,https://www.drugs.com/cg/gallstones.html
260,Bile Reflux,https://www.drugs.com/mcd/bile-reflux
261,Biliary Atresia,https://www.drugs.com/cg/biliary-atresia.html
262,Biliary Bypass,https://www.drugs.com/cg/biliary-bypass.html
263,Biliary Calculus,https://www.drugs.com/cg/gallstones.html
264,Biliary Cholangitis,https://www.drugs.com/mcd/primary-biliary-cirrhosis
265,Biliary Cirrhosis,https://www.drugs.com/mcd/primary-biliary-cirrhosis
266,Biliary Colic,https://www.drugs.com/cg/biliary-colic.html
267,Biliary Dyskinesia,https://www.drugs.com/cg/biliary-dyskinesia.html
268,Biliary Fistula,https://www.drugs.com/condition/gallbladder-fistula.html
269,Biliary Obstruction,https://www.drugs.com/condition/biliary-obstruction.html
271,Biliary Tract Surgery,https://www.drugs.com/condition/biliary-tract-surgery.html
272,Biliary Tract Tumor,https://www.drugs.com/condition/biliary-tract-tumor.html
270,Biliary Tract and Hepatic Tumor,https://www.drugs.com/condition/biliary-tract-and-hepatic-tumor.html
273,"Bilirubin, Serum",https://www.drugs.com/cg/bilirubin-serum.html
274,Billowing Mitral Valve,https://www.drugs.com/cg/mitral-valve-prolapse.html
275,Binge Eating Disorder,https://www.drugs.com/mcd/binge-eating-disorder
276,Biofeedback,https://www.drugs.com/health-guide/biofeedback.html
277,Biopsy,https://www.drugs.com/health-guide/biopsy.html
278,Biopsy of the Prostate and Transrectal Ultrasound,https://www.drugs.com/health-guide/biopsy-of-the-prostate-and-transrectal-ultrasound.html
279,Bipap,https://www.drugs.com/cg/bipap.html
280,Bipolar Affective Disorder,https://www.drugs.com/cg/bipolar-disorder.html
281,Bipolar Affective Mood Disorder,https://www.drugs.com/cg/bipolar-disorder.html
1510,Bipolar Disorder,https://www.drugs.com/bipolar.html
282,Bipolar Disorder,https://www.drugs.com/bipolar.html
1797,Bipolar Disorder,https://www.drugs.com/bipolar.html
1817,Bipolar Disorder,https://www.drugs.com/bipolar.html
1818,Bipolar Disorder (Care Guide),https://www.drugs.com/cg/bipolar-disorder.html
1511,Bipolar Disorder (Care Guide),https://www.drugs.com/cg/bipolar-disorder.html
283,Bipolar Disorder (Care Guide),https://www.drugs.com/cg/bipolar-disorder.html
1798,Bipolar Disorder (Care Guide),https://www.drugs.com/cg/bipolar-disorder.html
284,Bipolar Disorder (Manic Depressive Illness or Manic Depression),https://www.drugs.com/health-guide/bipolar-disorder-manic-depressive-illness-or-manic-depression.html
285,Bipolar I Disorder,https://www.drugs.com/cg/bipolar-disorder.html
286,Bipolar II Disorder,https://www.drugs.com/cg/bipolar-disorder.html
287,Bird Flu,https://www.drugs.com/condition/avian-influenza.html
288,Bird Flu (Avian Influenza),https://www.drugs.com/mcd/bird-flu-avian-influenza
289,Birth Control,https://www.drugs.com/cg/birth-control-pills.html
290,Birth Control Implant,https://www.drugs.com/cg/birth-control-implant.html
291,Birth Control Pills,https://www.drugs.com/cg/birth-control-pills.html
292,Birth Mark,https://www.drugs.com/mcd/hemangioma
1799,Bladder Infection,https://www.drugs.com/cg/interstitial-cystitis.html
1512,Bladder Infection,https://www.drugs.com/cg/interstitial-cystitis.html
1819,Bladder Infection,https://www.drugs.com/cg/interstitial-cystitis.html
1800,Blister,https://www.drugs.com/cg/blister.html
1513,Blister,https://www.drugs.com/cg/blister.html
1820,Blister,https://www.drugs.com/cg/blister.html
1514,Blurred Vision,https://www.drugs.com/cg/blurred-vision-aftercare-instructions.html
1821,Blurred Vision,https://www.drugs.com/cg/blurred-vision-aftercare-instructions.html
1801,Blurred Vision,https://www.drugs.com/cg/blurred-vision-aftercare-instructions.html
1515,Botulism,https://www.drugs.com/cg/botulism.html
1802,Botulism,https://www.drugs.com/cg/botulism.html
1822,Botulism,https://www.drugs.com/cg/botulism.html
1516,Bowel Obstruction,https://www.drugs.com/cg/bowel-obstruction.html
1803,Bowel Obstruction,https://www.drugs.com/cg/bowel-obstruction.html
1823,Bowel Obstruction,https://www.drugs.com/cg/bowel-obstruction.html
1517,Bradycardia,https://www.drugs.com/cg/bradycardia.html
1804,Bradycardia,https://www.drugs.com/cg/bradycardia.html
1824,Bradycardia,https://www.drugs.com/cg/bradycardia.html
1805,Brain Tumor,https://www.drugs.com/health-guide/brain-tumor.html
1825,Brain Tumor,https://www.drugs.com/health-guide/brain-tumor.html
1518,Brain Tumor,https://www.drugs.com/health-guide/brain-tumor.html
1806,Breast Cancer,https://www.drugs.com/cancer-breast.html
1519,Breast Cancer,https://www.drugs.com/cancer-breast.html
1826,Breast Cancer,https://www.drugs.com/cancer-breast.html
1520,Breast Cancer (Harvard Health),https://www.drugs.com/health-guide/breast-cancer.html
1807,Breast Cancer (Harvard Health),https://www.drugs.com/health-guide/breast-cancer.html
1827,Breast Cancer (Harvard Health),https://www.drugs.com/health-guide/breast-cancer.html
1521,Breath Test,https://www.drugs.com/cg/breath-test.html
1808,Breath Test,https://www.drugs.com/cg/breath-test.html
1828,Breath Test,https://www.drugs.com/cg/breath-test.html
1809,Broken Heart Syndrome,https://www.drugs.com/mcd/broken-heart-syndrome
1522,Broken Heart Syndrome,https://www.drugs.com/mcd/broken-heart-syndrome
1829,Broken Heart Syndrome,https://www.drugs.com/mcd/broken-heart-syndrome
1810,Broken Nose (Nasal Fracture),https://www.drugs.com/health-guide/broken-nose-nasal-fracture.html
1523,Broken Nose (Nasal Fracture),https://www.drugs.com/health-guide/broken-nose-nasal-fracture.html
1830,Broken Nose (Nasal Fracture),https://www.drugs.com/health-guide/broken-nose-nasal-fracture.html
1524,Bronchitis,https://www.drugs.com/mcd/bronchitis
1811,Bronchitis,https://www.drugs.com/mcd/bronchitis
1831,Bronchitis,https://www.drugs.com/mcd/bronchitis
1525,Bruxism,https://www.drugs.com/condition/bruxism.html
1812,Bruxism,https://www.drugs.com/condition/bruxism.html
1832,Bruxism,https://www.drugs.com/condition/bruxism.html
1833,Bunion,https://www.drugs.com/cg/bunion.html
1813,Bunion,https://www.drugs.com/cg/bunion.html
1526,Bunion,https://www.drugs.com/cg/bunion.html
1834,Burn Care,https://www.drugs.com/cg/burn-care.html
1814,Burn Care,https://www.drugs.com/cg/burn-care.html
1527,Burn Care,https://www.drugs.com/cg/burn-care.html
1835,Bursitis,https://www.drugs.com/health-guide/bursitis.html
1528,Bursitis,https://www.drugs.com/health-guide/bursitis.html
1815,Bursitis,https://www.drugs.com/health-guide/bursitis.html
78,CLL (Chronic Lymphocytic Leukemia),https://www.drugs.com/cg/chronic-lymphocytic-leukemia.html
79,CLN2 Disease,https://www.drugs.com/condition/cln2-disease.html
64,Clamshell Brace,https://www.drugs.com/cg/clamshell-brace.html
65,Classic Late Infantile Neuronal Ceroid Lipofuscinosis,https://www.drugs.com/condition/cln2-disease.html
66,Claudication,https://www.drugs.com/mcd/claudication
67,Clavicle Fracture,https://www.drugs.com/cg/clavicle-fracture.html
68,Clavicle Fracture in Children,https://www.drugs.com/cg/clavicle-fracture-in-children.html
69,Clear Liquid Diet,https://www.drugs.com/cg/clear-liquid-diet.html
70,Cleft Lip,https://www.drugs.com/cg/cleft-lip.html
73,Cleft Lip Repair,https://www.drugs.com/cg/cleft-lip-repair-discharge-care.html
71,Cleft Lip and Cleft Palate,https://www.drugs.com/cg/cleft-lip-and-cleft-palate.html
72,Cleft Lip and Cleft Palate Repair,https://www.drugs.com/cg/cleft-lip-and-cleft-palate-repair.html
74,Cleft Palate,https://www.drugs.com/cg/cleft-palate.html
75,Cleft Palate Repair,https://www.drugs.com/cg/cleft-palate-repair-discharge-care.html
76,Climacteric,https://www.drugs.com/cg/menopause.html
77,Clinical Depression,https://www.drugs.com/health-guide/major-depression.html
80,Clornorchis Sinensis,https://www.drugs.com/condition/clornorchis-sinensis-liver-fluke.html
81,Closed Reduction,https://www.drugs.com/cg/closed-reduction.html
83,Closed Reduction Internal Fixation of Leg Fracture in Adults,https://www.drugs.com/cg/closed-reduction-internal-fixation-of-leg-fracture-in-adults.html
84,Closed Reduction Internal Fixation of Leg Fracture in Children,https://www.drugs.com/cg/closed-reduction-internal-fixation-of-leg-fracture-in-children.html
85,Closed Reduction Internal Fixation of Upper Extremity Fracture in Children,https://www.drugs.com/cg/closed-reduction-internal-fixation-of-upper-extremity-fracture-in-children.html
82,Closed Reduction Internal Fixation of an Upper Extremity Fracture,https://www.drugs.com/cg/closed-reduction-internal-fixation-of-an-upper-extremity-fracture.html
86,Closed Stereotactic Surgery for Malignant Glioma,https://www.drugs.com/cg/closed-stereotactic-surgery-for-malignant-glioma-aftercare-instructions.html
87,Clostridial Infection,https://www.drugs.com/cg/c-diff-clostridium-difficile-infection.html
88,Clostridioides Difficile Colitis,https://www.drugs.com/mcd/pseudomembranous-colitis
89,Clostridioides Difficile Infection,https://www.drugs.com/cg/c-diff-clostridium-difficile-infection.html
90,Clostridium Difficile Colitis,https://www.drugs.com/mcd/pseudomembranous-colitis
91,Clostridium Difficile Infection,https://www.drugs.com/cg/c-diff-clostridium-difficile-infection.html
92,Clostridium Difficile Infection Recurrence Prevention,https://www.drugs.com/condition/prevention-of-clostridium-difficile-infection-recurrence.html
93,Clostridium Difficile-Associated Diarrhea,https://www.drugs.com/cg/c-diff-clostridium-difficile-infection.html
94,Clostridium Infection,https://www.drugs.com/cg/c-diff-clostridium-difficile-infection.html
95,Closure of Colostomy,https://www.drugs.com/condition/closure-of-colostomy.html
96,Clotting Disorders during Pregnancy,https://www.drugs.com/cg/clotting-disorders-during-pregnancy.html
97,Clubfoot,https://www.drugs.com/cg/clubfoot.html
98,Cluster Headache,https://www.drugs.com/cg/cluster-headache.html
99,Cluster Headache in Children,https://www.drugs.com/cg/cluster-headache-in-children.html
100,Cluster-Tic Syndrome,https://www.drugs.com/cg/cluster-headache.html
997,Cyanide Poisoning,https://www.drugs.com/cg/cyanide-poisoning.html
998,Cyclic Vomiting Syndrome,https://www.drugs.com/cg/cyclic-vomiting-syndrome.html
999,Cyclic Vomiting Syndrome in Children,https://www.drugs.com/cg/cyclic-vomiting-syndrome-in-children.html
1000,Cyclical Vomiting Syndrome,https://www.drugs.com/cg/cyclic-vomiting-syndrome.html
1001,Cyclitis,https://www.drugs.com/condition/cyclitis.html
1002,Cyclodestructive Laser Surgery,https://www.drugs.com/cg/cyclodestructive-laser-surgery.html
1003,Cyclophotocoagulation for Glaucoma,https://www.drugs.com/cg/cyclophotocoagulation-for-glaucoma.html
1004,Cyclospora Infection,https://www.drugs.com/mcd/cyclospora-infection
1005,Cyclothymia,https://www.drugs.com/cg/mood-disorders.html
1006,Cyclothymia (Cyclothymic Disorder),https://www.drugs.com/mcd/cyclothymia-cyclothymic-disorder
1007,Cyclothymic Disorder,https://www.drugs.com/cg/mood-disorders.html
1008,Cyst,https://www.drugs.com/cg/cyst-aftercare-instructions.html
1009,Cystectomy with Continent Cutaneous Urinary Diversion,https://www.drugs.com/cg/cystectomy-with-continent-cutaneous-urinary-diversion-discharge-care.html
1010,Cystectomy with Ileal Conduit,https://www.drugs.com/cg/cystectomy-with-ileal-conduit-aftercare-instructions.html
1011,Cystic Acne,https://www.drugs.com/cg/acne.html
1012,Cystic Fibrosis,https://www.drugs.com/cg/cystic-fibrosis.html
1013,Cystic Fibrosis in Children,https://www.drugs.com/cg/cystic-fibrosis-in-children.html
1014,Cystic Fibrosis with Ileus,https://www.drugs.com/condition/cystic-fibrosis-with-ileus.html
1015,Cysticercosis,https://www.drugs.com/mcd/tapeworm-infection
1016,Cysticercus Cellulosae,https://www.drugs.com/condition/cysticercus-cellulosae-cysticercosis.html
1017,Cystinuria,https://www.drugs.com/condition/cystinuria.html
1018,Cystitis,https://www.drugs.com/mcd/cystitis
1019,Cystitis Prophylaxis,https://www.drugs.com/health-guide/bladder-infection-cystitis.html
1020,"Cystitis, Acute Bacterial",https://www.drugs.com/mcd/urinary-tract-infection-uti
1021,"Cystitis, Interstitial",https://www.drugs.com/cg/urinary-tract-infection-in-women.html
1022,"Cystitis, Noninfectious",https://www.drugs.com/condition/alkylating-agent-cystitis.html
1023,Cystocele,https://www.drugs.com/cg/cystocele.html
1024,Cystoscopy,https://www.drugs.com/cg/cystoscopy.html
1025,Cystoscopy in Children,https://www.drugs.com/cg/cystoscopy-in-children.html
1026,Cystourethrogram,https://www.drugs.com/health-guide/cystourethrogram.html
