condition,drugName,mean_p
Abnormal Uterine Bleeding,Microgestin Fe 1.5 / 30,0.012528594
Abnormal Uterine Bleeding,Mirena,0.035594125
Abnormal Uterine Bleeding,Mononessa,0.009833885
Abnormal Uterine Bleeding,Necon 1 / 35,0.002332116
Abnormal Uterine Bleeding,Necon 1 / 50,0
Abnormal Uterine Bleeding,Nora-Be,0.047315933
Abnormal Uterine Bleeding,Norethindrone,0.025565115
Abnormal Uterine Bleeding,Orsythia,0.016495758
Abnormal Uterine Bleeding,Ortho Micronor,0.211414368
Abnormal Uterine Bleeding,Ortho Tri-Cyclen,0.053534976
Abnormal Uterine Bleeding,Portia,0.005599043
Abnormal Uterine Bleeding,Premarin,0.021900672
Abnormal Uterine Bleeding,Previfem,0.000916624
Abnormal Uterine Bleeding,Provera,0.079870316
Abnormal Uterine Bleeding,Quasense,0.009362162
Abnormal Uterine Bleeding,Seasonale,0
Abnormal Uterine Bleeding,Seasonique,0.022053513
Abnormal Uterine Bleeding,Sprintec,0.021105076
Abnormal Uterine Bleeding,Sronyx,0.012966957
Abnormal Uterine Bleeding,Tri-Lo-Marzia,0.004866816
Abnormal Uterine Bleeding,Tri-Lo-Sprintec,0.006340532
Abnormal Uterine Bleeding,Tri-Previfem,0.018424377
Abnormal Uterine Bleeding,Tri-Sprintec,0.0205392
Abnormal Uterine Bleeding,TriNessa,0.009365657
Abnormal Uterine Bleeding,TriNessa Lo,0.002782013
Abortion,Misoprostol,55.21010077
Acne,Absorica,0.009241979
Acne,Acanya,0.012072155
Acne,Accutane,0.020578594
Acne,Acnex,0.004467585
Acne,Aczone,0.014867374
Acne,Adapalene,0.014347047
Acne,Adapalene / benzoyl peroxide,0.010709412
Acne,Aldactone,0.067760603
Acne,Amnesteem,0.010485144
Acne,Atralin,0.023496366
Acne,Avar,0.016083306
Acne,Azelaic acid,0.013408075
Acne,BP Wash,0.011615721
Acne,Bactrim,0.031401623
Acne,Bactrim DS,0.012425459
Acne,BenzEFoam,0.018354986
Acne,BenzEFoam Ultra,0.007194855
Acne,Benzaclin,0.012232897
Acne,Benzoyl peroxide,0.016066721
Acne,Benzoyl peroxide / clindamycin,0.010413266
Acne,Benzoyl peroxide / erythromycin,0.013244282
Acne,Benzoyl peroxide / hydrocortisone,0
Acne,Beyaz,0.009745016
Acne,Cephalexin,0.024486021
Acne,Claravis,0.011545017
Acne,Clindamycin,0.031443278
Acne,Clindamycin / tretinoin,0.006260029
Acne,Cyclafem 1 / 35,0.008669414
Acne,Dapsone,0.016292809
Acne,Differin,0.022030788
Acne,Doryx,0.02184226
Acne,Doxy 100,0.065946547
Acne,Doxycycline,0.013182667
Acne,Drospirenone / ethinyl estradiol,0.012218649
Acne,Drospirenone / ethinyl estradiol / levomefolate calcium,0.010326743
Acne,Duac,0.015745102
Acne,Epiduo,0.011343511
Acne,Epiduo Forte,0.00309339
Acne,Erythromycin,0.024124959
Acne,Estarylla,0.003641597
Acne,Ethinyl estradiol / norethindrone,0.006482098
Acne,Ethinyl estradiol / norgestimate,0.007731592
Acne,Finacea,0.02520297
Acne,Gianvi,0.009933528
Acne,Gildess Fe 1 / 20,0.003579473
Acne,Gildess Fe 1.5 / 30,0.00312731
Acne,Hexachlorophene,0.000893517
Acne,Inova 4 / 1,0
Acne,Isotretinoin,0.017062749
Acne,Junel Fe 1 / 20,0.005063496
Acne,Keflex,0.020284664
Acne,Loestrin 24 Fe,0.006823957
Acne,Loestrin Fe 1 / 20,0.000893517
Acne,Loryna,0.002616377
Acne,Magnesium hydroxide,0.025935709
Acne,Microgestin Fe 1 / 20,0.0027132
Acne,Microgestin Fe 1.5 / 30,0
Acne,Minocin,0.014613162
Acne,Minocycline,0.010814769
Acne,Monodox,0.015266465
Acne,Myorisan,0.004111841
Acne,Necon 1 / 35,0.001751046
Acne,Norinyl 1+35,0.017198122
Acne,Ocella,0.003889149
Acne,Onexton,0.008287482
Acne,Ortho Tri-Cyclen,0.01110873
Acne,PanOxyl,0.019962613
Acne,Retapamulin,0.003574068
Acne,Retin A Micro,0.013758498
Acne,Retin-A,0.040355558
Acne,SMZ-TMP DS,0.029094435
Acne,Salicylic acid,0.004467585
Acne,Solodyn,0.017142576
Acne,Sotret,0.008041653
Acne,Spironolactone,0.023323123
Acne,Sulfacetamide sodium / sulfur,0.009851479
Acne,Sulfamethoxazole / trimethoprim,0.018949906
Acne,Tazarotene,0.015073826
Acne,Tazorac,0.013981554
Acne,Tetracycline,0.01077775
Acne,Tretin-X,0.006967252
Acne,Tretinoin,0.0194677
Acne,Tri-Estarylla,0
Acne,Tri-Linyah,0.005672882
Acne,Tri-Previfem,0.013188641
Acne,Tri-Sprintec,0.010747764
Acne,TriNessa,0.0078266
Acne,TriNessa Lo,0.002578412
Acne,Veltin,0.008607987
Acne,Vestura,0.002101935
Acne,Vibramycin,0.002680551
Acne,Yasmin,0.019057907
Acne,Yaz,0.014335237
Acne,Ziana,0.009602392
Acne,femhrt,0.001245812
Actinic Keratosis,Carac,2.462771138
Actinic Keratosis,Efudex,5.300337619
Actinic Keratosis,Fluorouracil,4.378814553
Actinic Keratosis,Ingenol,0.724344452
Actinic Keratosis,Picato,0.724344452
Actinic Keratosis,Tolak,0.289737781
Acute Coronary Syndrome,Brilinta,2.431211301
Acute Coronary Syndrome,Effient,2.00341021
Acute Coronary Syndrome,Prasugrel,1.396727503
Acute Coronary Syndrome,Ticagrelor,2.650261952
Acute Lymphoblastic Leukemia,Iclusig,2.173033357
Acute Lymphoblastic Leukemia,Imatinib,14.70168346
Acute Promyelocytic Leukemia,Tretinoin,0.458752135
Acute Promyelocytic Leukemia,Vesanoid,1.584170938
Addison's Disease,Decadron,0
Addison's Disease,Dexamethasone,3.007162526
Addison's Disease,Fludrocortisone,23.10597315
Adrenocortical Insufficiency,Cortef,10.17213717
Adrenocortical Insufficiency,Hydrocortisone,4.270567013
Adult Human Growth Hormone Deficiency,Humatrope,22.45467802
Adult Human Growth Hormone Deficiency,Norditropin,18.83295576
Adult Human Growth Hormone Deficiency,Saizen,21.73033357
Agitated State,Abilify,3.440713906
Agitated State,Aripiprazole,3.750783551
Agitation,Citalopram,4.173094749
Agitation,Loxapine,0.869213343
Agitation,Olanzapine,5.977440512
Agitation,Risperidone,0.434606671
Alcohol Dependence,Acamprosate,0.703752468
Alcohol Dependence,Antabuse,1.175751693
Alcohol Dependence,Campral,0.686313504
Alcohol Dependence,Disulfiram,1.067715859
Alcohol Dependence,Naltrexone,0.690324973
Alcohol Dependence,Vivitrol,1.10164623
Alcohol Withdrawal,Atenolol,0.418667875
Alcohol Withdrawal,Baclofen,1.005317431
Alcohol Withdrawal,Catapres,1.127182741
Alcohol Withdrawal,Chlordiazepoxide,1.364840062
Alcohol Withdrawal,Clonidine,0.69541748
Alcohol Withdrawal,Diazepam,1.335237364
Alcohol Withdrawal,Gabapentin,1.469889103
Alcohol Withdrawal,Librium,1.358797416
Alcohol Withdrawal,Oxazepam,0.785433743
Alcohol Withdrawal,Serax,0.916339367
Alcohol Withdrawal,Tranxene,1.178150615
Alcohol Withdrawal,Valium,1.047244991
Allergic Reactions,Benadryl,0.559254249
Allergic Reactions,Benadryl Allergy,0.098774243
Allergic Reactions,Chlor-Trimeton,0.842640347
Allergic Reactions,Chlorpheniramine,0.691419704
Allergic Reactions,Cyproheptadine,0.545553507
Allergic Reactions,Diphenhydramine,0.767497682
Allergic Reactions,EpiPen,0.698633718
Allergic Reactions,Epinephrine,0.57909849
Allergic Reactions,Phenergan,0.938355313
Allergic Reactions,Prednisone,1.120526914
Allergic Reactions,Promethazine,0.592645461
Allergic Reactions,Triamcinolone,0.486006065
Allergic Rhinitis,Acetaminophen / dexbrompheniramine / pseudoephedrine,0
Allergic Rhinitis,Acrivastine / pseudoephedrine,0.029397464
Allergic Rhinitis,Actifed,0.036501643
Allergic Rhinitis,Allegra,0.129976326
Allergic Rhinitis,Allegra Allergy,0.030212158
Allergic Rhinitis,Allegra ODT,0.136141849
Allergic Rhinitis,Allegra-D 24 Hour,0.01047245
Allergic Rhinitis,Astepro,0.116223076
Allergic Rhinitis,Azelastine,0.097345022
Allergic Rhinitis,Azelastine / fluticasone,0.071982652
Allergic Rhinitis,Beclomethasone,0.012124762
Allergic Rhinitis,Beconase AQ,0.007045204
Allergic Rhinitis,Benadryl,0.032965296
Allergic Rhinitis,Brompheniramine / pseudoephedrine,0.094252049
Allergic Rhinitis,Budesonide,0.028237175
Allergic Rhinitis,Cetirizine,0.103844578
Allergic Rhinitis,Cetirizine / pseudoephedrine,0.036653575
Allergic Rhinitis,Children's Claritin Allergy,0.104724499
Allergic Rhinitis,Chlor-Trimeton,0.109496033
Allergic Rhinitis,Chlorpheniramine,0.061533039
Allergic Rhinitis,Ciclesonide,0.046361165
Allergic Rhinitis,Clarinex,0.045319087
Allergic Rhinitis,Claritin,0.102837065
Allergic Rhinitis,Claritin-D,0.122612214
Allergic Rhinitis,Claritin-D 24 Hour,0.015708675
Allergic Rhinitis,Desloratadine,0.023509057
Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine,0.062145312
Allergic Rhinitis,Diphenhydramine,0.014280568
Allergic Rhinitis,Diphenhydramine / phenylephrine,0.011446313
Allergic Rhinitis,Drixoral Cold and Allergy,0.072108905
Allergic Rhinitis,Dymista,0.051622418
Allergic Rhinitis,Fexofenadine,0.077618315
Allergic Rhinitis,Fexofenadine / pseudoephedrine,0.049693821
Allergic Rhinitis,Flonase,0.143173829
Allergic Rhinitis,Fluticasone,0.120320869
Allergic Rhinitis,Levocetirizine,0.103988647
Allergic Rhinitis,Loratadine,0.095730911
Allergic Rhinitis,Loratadine / pseudoephedrine,0.062834699
Allergic Rhinitis,Medrol Dosepak,0.050835193
Allergic Rhinitis,Methylprednisolone,0.087828551
Allergic Rhinitis,Mometasone,0.046292195
Allergic Rhinitis,Montelukast,0.168653952
Allergic Rhinitis,Nasacort,0.091920454
Allergic Rhinitis,Nasacort AQ,0.080691092
Allergic Rhinitis,Nasacort Allergy 24HR,0
Allergic Rhinitis,Nasarel,0.047126025
Allergic Rhinitis,Nasonex,0.08427664
Allergic Rhinitis,Olopatadine,0.146614299
Allergic Rhinitis,Omnaris,0.080588922
Allergic Rhinitis,Palgic,0.005236225
Allergic Rhinitis,Patanase,0.087058386
Allergic Rhinitis,Prednisone,0.010147572
Allergic Rhinitis,Promethazine,0.01047245
Allergic Rhinitis,Pseudoephedrine / triprolidine,0.039688635
Allergic Rhinitis,QNASL,0.034118815
Allergic Rhinitis,Rhinocort Aqua,0.026181125
Allergic Rhinitis,Singulair,0.280368175
Allergic Rhinitis,Triamcinolone,0.069703143
Allergic Rhinitis,Veramyst,0.036790632
Allergic Rhinitis,Xyzal,0.104345939
Allergic Rhinitis,Zyrtec,0.10252332
Allergic Rhinitis,Zyrtec-D,0.115196949
Allergic Rhinitis,Zyrtec-D 12 Hour,0.073307149
Allergic Urticaria,Atarax,8.147325974
Allergic Urticaria,Famotidine,2.91413931
Allergic Urticaria,Hydroxyzine,4.510176603
Allergic Urticaria,Vistaril,5.975390434
Allergies,Acthar,0.105146775
Allergies,Atarax,0.991409019
Allergies,Hydroxyzine,0.659851854
Allergies,Levocetirizine,0.752114651
Allergies,Triprolidine,0.296828499
Allergies,Xyzal,0.53577924
Alopecia,Kenalog-10,1.70089233
Alopecia,Minoxidil,2.912160872
Alopecia,Rogaine,4.804629391
Alopecia,Rogaine Women's,2.792877697
Alopecia,Spironolactone,3.134433494
Alopecia,Triamcinolone,1.545939869
Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor,27.39806724
Alzheimer's Disease,Aricept,7.67843638
Alzheimer's Disease,Donepezil,4.078994212
Alzheimer's Disease,Exelon,1.792387879
Alzheimer's Disease,Galantamine,1.174479641
Alzheimer's Disease,Memantine,3.238570623
Alzheimer's Disease,Namenda,4.041534113
Alzheimer's Disease,Namenda XR,3.440636148
Alzheimer's Disease,Razadyne ER,1.146878716
Alzheimer's Disease,Rivastigmine,0.426629113
Amebiasis,Metronidazole,0
Amenorrhea,Depo-Provera,1.006091897
Amenorrhea,Jolivette,0.073263052
Amenorrhea,Medroxyprogesterone,1.174717292
Amenorrhea,Norethindrone,0.150481061
Amenorrhea,Progesterone,1.761563017
Amenorrhea,Prometrium,1.6298751
Amenorrhea,Provera,1.120920136
Anal Fissure and Fistula,Nitroglycerin,10.59353761
Anal Fissure and Fistula,Rectiv,5.704212561
Androgenetic Alopecia,Finasteride,2.451480913
Androgenetic Alopecia,Propecia,3.648691828
Anemia,Epoetin alfa,0.392652293
Anemia,Integra F,4.855667058
Anemia,Multivitamin with iron,2.099312988
Anemia,Oxymetholone,0.557677786
Anemia,Procrit,0.447660791
Anemia Associated with Chronic Renal Failure,Aranesp,3.389730301
Anemia Associated with Chronic Renal Failure,Ferrlecit,1.303820014
Anemia Associated with Chronic Renal Failure,Ferrous sulfate,3.476853371
Anemia Associated with Chronic Renal Failure,Procrit,13.47280681
"Anemia, Sickle Cell",Hydrea,17.38426685
"Anemia, Sickle Cell",Hydroxyurea,10.50299456
Anesthesia,Diprivan,0.52855177
Anesthesia,Emla,0.424657191
Anesthesia,Ketamine,0.64463363
Anesthesia,LMX 4,0
Anesthesia,Lidocaine,0.167270848
Anesthesia,Lidocaine / prilocaine,0.076744649
Anesthesia,Pentothal,0.043098888
Anesthesia,Propofol,0.301490417
Anesthesia,Succinylcholine,0.219296944
Anesthesia,Thiopental,0.021549444
Anesthetic Adjunct,Hydromorphone,32.59550035
Angina,Aspirin,0.531185932
Angina,Carvedilol,0.180261248
Angina,Corgard,0.477835083
Angina,Isosorbide mononitrate,0.06687889
Angina,Lopressor,1.883295576
Angina,Lovenox,0
Angina,Metoprolol,0.87054068
Angina,Metoprolol Tartrate,0.724344452
Angina,Nitroglycerin,2.855080766
Angina,Ranexa,1.726286102
Angina,Ranolazine,1.442385465
Angina Pectoris Prophylaxis,Diltiazem,1.32268231
Angina Pectoris Prophylaxis,Imdur,9.829736471
Angina Pectoris Prophylaxis,Isosorbide mononitrate,3.3367956
Angina Pectoris Prophylaxis,Nitrostat,1.629775017
Ankylosing Spondylitis,Adalimumab,1.164106184
Ankylosing Spondylitis,Certolizumab,0.451539399
Ankylosing Spondylitis,Cimzia,0.104706498
Ankylosing Spondylitis,Clinoril,0.337632712
Ankylosing Spondylitis,Cosentyx,0.601357641
Ankylosing Spondylitis,Diclofenac,0.47613138
Ankylosing Spondylitis,Enbrel,0.506875817
Ankylosing Spondylitis,Etanercept,0.539954858
Ankylosing Spondylitis,Golimumab,0.610184111
Ankylosing Spondylitis,Humira,0.956040062
Ankylosing Spondylitis,Indocin,0.347147189
Ankylosing Spondylitis,Indocin SR,0.282212124
Ankylosing Spondylitis,Indomethacin,0.082570652
Ankylosing Spondylitis,Infliximab,0.507981824
Ankylosing Spondylitis,Naproxen,0.250782698
Ankylosing Spondylitis,Remicade,0.930067096
Ankylosing Spondylitis,Simponi,0.792212169
Ankylosing Spondylitis,Sulindac,0.422048296
Ankylosing Spondylitis,Vimovo,0.154341644
Ankylosing Spondylitis,Voltaren,0.282212124
Anorexia,Cyproheptadine,3.419234788
Anorexia,Dronabinol,1.275525841
Anorexia,Marinol,1.083227846
Anorexia,Megace ES,1.32112335
Anorexia,Megestrol,1.182634977
Anorexia Feeding Problems,Fluvoxamine,31.1270231
Anthrax,Doxycycline,6.51910007
Antiphospholipid Syndrome,Coumadin,10.03820014
Antiphospholipid Syndrome,Warfarin,4.1649806
Anxiety,Alprazolam,0.027511171
Anxiety,Alprazolam Intensol,0.031674441
Anxiety,Atarax,0.046232185
Anxiety,Atenolol,0.056089969
Anxiety,Ativan,0.045144802
Anxiety,BuSpar,0.078283647
Anxiety,Bupropion,0.047618836
Anxiety,Buspirone,0.049422464
Anxiety,Catapres,0.08101287
Anxiety,Chlordiazepoxide,0.032949613
Anxiety,Clonazepam,0.034235563
Anxiety,Clonidine,0.049483209
Anxiety,Clorazepate,0.033793378
Anxiety,Compazine,0.006336596
Anxiety,Cymbalta,0.048366145
Anxiety,Desvenlafaxine,0.025376602
Anxiety,Desyrel,0.072436512
Anxiety,Diazepam,0.053673338
Anxiety,Dilantin,0.034345208
Anxiety,Doxepin,0.020919662
Anxiety,Duloxetine,0.044261639
Anxiety,Effexor XR,0.062497474
Anxiety,Escitalopram,0.029356129
Anxiety,Gabapentin,0.065725663
Anxiety,Hydroxyzine,0.028017347
Anxiety,Hyzine,0.035008593
Anxiety,Kava,0.019171372
Anxiety,Klonopin,0.048259938
Anxiety,Lamotrigine,0.016730943
Anxiety,Lexapro,0.038949705
Anxiety,Librium,0.017235884
Anxiety,Limbitrol DS,0.009801405
Anxiety,Lorazepam,0.031618736
Anxiety,Lorazepam Intensol,0.043496767
Anxiety,Meprobamate,0.021232439
Anxiety,Miltown,0.015548311
Anxiety,Mirtazapine,0.036701017
Anxiety,Nadolol,0.006668303
Anxiety,Nefazodone,0.011469053
Anxiety,Neurontin,0.189110552
Anxiety,Niravam,0.027784597
Anxiety,Oxazepam,0.041558964
Anxiety,Oxcarbazepine,0.028012024
Anxiety,Paroxetine,0.045885698
Anxiety,Paxil,0.054844398
Anxiety,Paxil CR,0.005001228
Anxiety,Pexeva,0.011936911
Anxiety,Phenytoin,0.038660513
Anxiety,Pristiq,0.021904739
Anxiety,Prochlorperazine,0.011433917
Anxiety,Propranolol,0.029664252
Anxiety,Remeron,0.069678529
Anxiety,Risperidone,0.040626801
Anxiety,Serax,0.077649085
Anxiety,Stelazine,0.013123718
Anxiety,Tenormin,0.129198378
Anxiety,Tramadol,0.060775445
Anxiety,Tranxene,0.045963119
Anxiety,Trazodone,0.067194432
Anxiety,Trifluoperazine,0.002500614
Anxiety,Valium,0.064720278
Anxiety,Vanspar,0.006417466
Anxiety,Venlafaxine,0.042777733
Anxiety,Viibryd,0.04399072
Anxiety,Vilazodone,0.015463634
Anxiety,Vistaril,0.056811237
Anxiety,Wellbutrin,0.217621327
Anxiety,Wellbutrin XL,0.047318095
Anxiety,Xanax,0.040017204
Anxiety,Xanax XR,0.049909073
Anxiety,Zetran,0.041257051
Anxiety and Stress,Amitriptyline,0.214020783
Anxiety and Stress,Celexa,0.240008099
Anxiety and Stress,Citalopram,0.17559919
Anxiety and Stress,Effexor,0.12249206
Anxiety and Stress,Effexor XR,0.088293355
Anxiety and Stress,Elavil,0.693062068
Anxiety and Stress,Fluoxetine,0.253782665
Anxiety and Stress,Fluvoxamine,0.117307274
Anxiety and Stress,Luvox,0.139475457
Anxiety and Stress,Luvox CR,0.102286677
Anxiety and Stress,Paroxetine,0.114861129
Anxiety and Stress,Paxil,0.206225491
Anxiety and Stress,Prazosin,0.46907451
Anxiety and Stress,Prozac,0.306231311
Anxiety and Stress,Prozac Weekly,0.176874808
Anxiety and Stress,Sertraline,0.152799671
Anxiety and Stress,Venlafaxine,0.1000162
Anxiety and Stress,Zoloft,0.158599543
Aphthous Ulce,Orajel,0
Aplastic Anemia,Promacta,2.173033357
Arrhythmia,Amiodarone,1.518153568
Arrhythmia,Cordarone,2.818628071
Arrhythmia,Disopyramide,0.520765081
Arrhythmia,Dofetilide,2.988217812
Arrhythmia,Norpace,0.758704117
Arrhythmia,Pacerone,4.708238939
Arrhythmia,Propranolol,0.902122643
Arrhythmia,Tikosyn,2.668089319
Ascariasis,Ivermectin,2.173033357
Asperger Syndrome,Lisdexamfetamine,4.701639235
Asperger Syndrome,Olanzapine,25.83932245
Asperger Syndrome,Vyvanse,9.368305902
"Aspergillosis, Aspergilloma",Sporanox,76.05616748
Aspiration Pneumonia,Clindamycin,43.46066713
Asthma,Aerobid,0.239033669
Asthma,Atrovent,0.814887509
Asthma,Breo Ellipta,0.348578229
Asthma,Caffeine,0.083651668
Asthma,Ciclesonide,0.167303336
Asthma,Decadron,0.325955003
Asthma,Dexamethasone,0.250955003
Asthma,Dulera,0.332731676
Asthma,Fluticasone / vilanterol,0.343081294
Asthma,Ipratropium,0.423741505
Asthma,Ipratropium Inhalation Solution,0.065191001
Asthma,Medrol Dosepak,0.351337005
Asthma,Mepolizumab,0.540435662
Asthma,Montelukast,0.488252505
Asthma,Nucala,0.391146004
Asthma,Prednisone,0.851653077
Asthma,Singulair,0.707245319
Asthma,Solu-Medrol,0.133651668
Asthma,Accolate,0.169331762
Asthma,Advair Diskus,0.202816864
Asthma,Advair HFA,0.063097354
Asthma,Albuterol,0.066800223
Asthma,Alvesco,0.151862186
Asthma,Arnuity Ellipta,0.107114113
Asthma,Asmanex Twisthaler,0.189706648
Asthma,Beclomethasone,0.272574663
Asthma,Breo Ellipta,0.101466195
Asthma,Budesonide,0.099480783
Asthma,Ciclesonide,0.132404615
Asthma,Cromolyn,0.033364271
Asthma,Dulera,0.294089023
Asthma,Flovent,0.064356618
Asthma,Flovent HFA,0.113401146
Asthma,Fluticasone,0.079763124
Asthma,Fluticasone / salmeterol,0.151470275
Asthma,Fluticasone / vilanterol,0.09628112
Asthma,Foradil Aerolizer,0.419684554
Asthma,Formoterol,0
Asthma,Intal,0.004663162
Asthma,Intal Inhaler,0.290026825
Asthma,Levalbuterol,0.075394207
Asthma,Medrol,0.046631617
Asthma,Metaproterenol,0.035902003
Asthma,Mometasone,0.230192637
Asthma,Montelukast,0.329571463
Asthma,Omalizumab,0.29383946
Asthma,Pirbuterol,0.02797897
Asthma,ProAir HFA,0.079743792
Asthma,ProAir RespiClick,0.055957941
Asthma,Pulmicort Flexhaler,0.2151189
Asthma,Qvar,0.16506794
Asthma,Singulair,0.423435923
Asthma,Symbicort,0.273829295
Asthma,Theophylline,0.149221175
Asthma,Tiotropium,0
Asthma,Ventolin,0.223831762
Asthma,Ventolin HFA,0.158547498
Asthma,Xolair,0.279949991
Asthma,Xopenex,0.065284264
Asthma,Zafirlukast,0.102589558
Asthma,Albuterol,0.299377111
Asthma,Asthmanefrin,0.200650673
Asthma,Ephedrine,0.420587101
Asthma,Epinephrine,0.303497585
Asthma,Levalbuterol,0.31374889
Asthma,Methylprednisolone,1.201741938
Asthma,Pirbuterol,0.105146775
Asthma,Prednisolone,1.226712379
Asthma,Primatene Mist,0.699698683
Asthma,ProAir HFA,0.305823302
Asthma,ProAir RespiClick,0.290536285
Asthma,Proventil HFA,1.156614529
Asthma,Quibron-T,0.053968818
Asthma,Racepinephrine,0.205603585
Asthma,Terbutaline,0.258680647
Asthma,Uniphyl,0.595831727
Asthma,Ventolin,0.731687104
Asthma,Ventolin HFA,0.280850268
Asthma,Xopenex,0.431750544
Asthma,Xopenex HFA,0.07009785
Atherosclerosis,Crestor,23.90336692
Atherosclerosis,Rosuvastatin,49.9797672
Atopic Dermatitis,Betamethasone,0.226357641
Atopic Dermatitis,Capex,0.27162917
Atopic Dermatitis,Clobetasol,0.451646301
Atopic Dermatitis,Clobex,0.643024846
Atopic Dermatitis,Crisaborole,0.436692269
Atopic Dermatitis,Cutivate,0.362172226
Atopic Dermatitis,Desoximetasone,0.211267132
Atopic Dermatitis,Dexamethasone,0.241727458
Atopic Dermatitis,Dupilumab,0.316900698
Atopic Dermatitis,Dupixent,0.474437119
Atopic Dermatitis,Elidel,0.211267132
Atopic Dermatitis,Elocon,0.659213502
Atopic Dermatitis,Eucrisa,0.575221424
Atopic Dermatitis,Fluocinolone,0.27162917
Atopic Dermatitis,Fluocinonide,0.181086113
Atopic Dermatitis,Fluticasone,0.445505559
Atopic Dermatitis,Kenalog,0.519480606
Atopic Dermatitis,Medrol Dosepak,1.208301869
Atopic Dermatitis,Mometasone,0.443935724
Atopic Dermatitis,Pimecrolimus,0.371292752
Atopic Dermatitis,Protopic,0.991128001
Atopic Dermatitis,Tacrolimus,0.765414821
Atopic Dermatitis,Triamcinolone,0.660014627
Atrial Fibrillation,Cardizem,0.56706231
Atrial Fibrillation,Cardizem CD,1.027010532
